iter	Logloss
0	0.6839353269
1	0.6749977068
2	0.6656047354
3	0.6562716141
4	0.6474132751
5	0.6398255479
6	0.631738238
7	0.6239541756
8	0.6164177425
9	0.6092188216
10	0.6020105452
11	0.5957062753
12	0.5890087765
13	0.5825430863
14	0.5764349753
15	0.5707183308
16	0.5652658967
17	0.5597493611
18	0.5544630308
19	0.5492863882
20	0.5439474526
21	0.5387321716
22	0.5338342282
23	0.528859449
24	0.5243228599
25	0.519997463
26	0.5159432893
27	0.5114118371
28	0.5068038882
29	0.5029092496
30	0.4992463871
31	0.4958406274
32	0.4922102992
33	0.4890269288
34	0.4857155927
35	0.4824791226
36	0.4793501374
37	0.4760999226
38	0.4732847903
39	0.4705767455
40	0.4674134765
41	0.4646308007
42	0.4621756203
43	0.459152047
44	0.4562411162
45	0.4537521948
46	0.4511609162
47	0.4489043686
48	0.4463483816
49	0.4449914753
50	0.4430115618
51	0.4407654231
52	0.4386202487
53	0.436421355
54	0.4343917925
55	0.4323905632
56	0.4306026953
57	0.4287518438
58	0.4267566525
59	0.4247259455
60	0.4230536541
61	0.4215434011
62	0.4200044561
63	0.4182395226
64	0.4171178468
65	0.4155110083
66	0.4140940972
67	0.4126150594
68	0.4113747991
69	0.4099154137
70	0.4084369323
71	0.4072659753
72	0.4060524344
73	0.4047481382
74	0.4035874745
75	0.4020671512
76	0.4008961269
77	0.3994904159
78	0.3982926473
79	0.3970668004
80	0.3959241536
81	0.3947450803
82	0.3937671498
83	0.3925590002
84	0.3915473392
85	0.3906629572
86	0.3898199802
87	0.3887665472
88	0.3876079246
89	0.3866914013
90	0.3856646323
91	0.3849012775
92	0.3839966669
93	0.3830650804
94	0.382265619
95	0.3815283712
96	0.3804530176
97	0.3795016675
98	0.3787081828
99	0.3779182842
100	0.3773339851
101	0.3766085502
102	0.3757894847
103	0.375038955
104	0.3743136607
105	0.3737724115
106	0.3729571521
107	0.3723079403
108	0.3716115364
109	0.3708406188
110	0.3702106544
111	0.3694649858
112	0.368702009
113	0.368203899
114	0.3676505955
115	0.3667895439
116	0.3660418971
117	0.3654515201
118	0.3649275815
119	0.3642742399
120	0.3636212256
121	0.3630669023
122	0.3624340864
123	0.3619678714
124	0.3615105146
125	0.3610131213
126	0.3605356224
127	0.3600265797
128	0.3594950068
129	0.3587886519
130	0.3580983344
131	0.3575266314
132	0.3571526691
133	0.3564937826
134	0.3560861325
135	0.3555575619
136	0.3551915641
137	0.354652853
138	0.3540758515
139	0.3535525013
140	0.3531330383
141	0.352732312
142	0.3522482403
143	0.3517020647
144	0.3512834872
145	0.3507151615
146	0.350204337
147	0.3499127633
148	0.3495017325
149	0.3491070504
150	0.3485842333
151	0.3482486025
152	0.3478911271
153	0.3474091167
154	0.3470462164
155	0.3468653006
156	0.3463247324
157	0.3459377868
158	0.3454947699
159	0.3450680673
160	0.3447374498
161	0.3443004154
162	0.343912872
163	0.3436282263
164	0.3433873439
165	0.3430050667
166	0.3426590177
167	0.342363287
168	0.3419211707
169	0.3413958709
170	0.3410527499
171	0.3408612277
172	0.340685464
173	0.3401193908
174	0.3398310518
175	0.339532647
176	0.3389253598
177	0.3384452718
178	0.3381668311
179	0.3379186995
180	0.3374980283
181	0.3370821416
182	0.3367818269
183	0.336676892
184	0.3362989623
185	0.3360140537
186	0.3357045481
187	0.3353927234
188	0.3349003867
189	0.3346962709
190	0.3344673689
191	0.3342381958
192	0.3340123119
193	0.3335700272
194	0.3331777926
195	0.3327684122
196	0.332511878
197	0.3321183368
198	0.3318861733
199	0.331653296
200	0.3313249224
201	0.3311076173
202	0.3307263232
203	0.3302810891
204	0.3299530113
205	0.3297878946
206	0.329462199
207	0.3290998351
208	0.3287988789
209	0.3285588645
210	0.3281311462
211	0.3277382667
212	0.3276148477
213	0.3273333935
214	0.3270311388
215	0.3268417709
216	0.3265835848
217	0.3264421964
218	0.3261929702
219	0.3260253352
220	0.3258282394
221	0.3255092187
222	0.325086891
223	0.3248981719
224	0.3244288276
225	0.324073882
226	0.3237953453
227	0.3235551812
228	0.3232794083
229	0.3230310502
230	0.3228518004
231	0.3225230771
232	0.3223057819
233	0.3220859999
234	0.3218625454
235	0.3216123736
236	0.321357374
237	0.3211355258
238	0.3209439638
239	0.3206318916
240	0.3203921817
241	0.320121562
242	0.3198629181
243	0.3195897512
244	0.3193316794
245	0.3189642574
246	0.3186442479
247	0.3183968405
248	0.3181627251
249	0.3178785528
250	0.3175174167
251	0.317389561
252	0.3171540219
253	0.3168473614
254	0.3167414371
255	0.3165022264
256	0.316157149
257	0.3159794476
258	0.3158362362
259	0.3155407515
260	0.3154244061
261	0.3151875268
262	0.3149863092
