iter	Passed	Remaining
0	153	54711
1	295	52568
2	428	50762
3	567	50260
4	719	50773
5	873	51250
6	1015	50897
7	1155	50552
8	1295	50234
9	1431	49799
10	1567	49442
11	1720	49614
12	1847	49042
13	1984	48756
14	2135	48828
15	2265	48419
16	2410	48343
17	2539	47976
18	2675	47743
19	2820	47671
20	2944	47254
21	3090	47193
22	3224	46962
23	3354	46684
24	3493	46531
25	3632	46387
26	3775	46283
27	3911	46095
28	4047	45913
29	4179	45697
30	4319	45560
31	4447	45309
32	4581	45125
33	4714	44924
34	4858	44838
35	5007	44788
36	5146	44649
37	5283	44489
38	5422	44349
39	5564	44241
40	5707	44129
41	5855	44054
42	6001	43965
43	6145	43853
44	6286	43725
45	6430	43616
46	6572	43487
47	6720	43401
48	6854	43224
49	7003	43142
50	7143	43000
51	7292	42916
52	7439	42811
53	7597	42771
54	7760	42751
55	7919	42707
56	8083	42686
57	8245	42650
58	8406	42604
59	8568	42558
60	8731	42510
61	8891	42451
62	9055	42402
63	9217	42343
64	9382	42294
65	9545	42232
66	9713	42188
67	9879	42134
68	10049	42091
69	10214	42023
70	10377	41947
71	10537	41858
72	10701	41780
73	10865	41699
74	11029	41619
75	11193	41533
76	11362	41464
77	11522	41364
78	11690	41285
79	11851	41183
80	12017	41096
81	12179	40993
82	12339	40885
83	12504	40790
84	12668	40688
85	12831	40582
86	12995	40481
87	13161	40382
88	13324	40274
89	13491	40174
90	13657	40072
91	13812	39936
92	13975	39822
93	14141	39716
94	14306	39605
95	14470	39493
96	14634	39378
97	14800	39265
98	14962	39144
99	15134	39046
100	15295	38919
101	15454	38787
102	15613	38655
103	15768	38512
104	15931	38386
105	16101	38278
106	16262	38148
107	16422	38016
108	16577	37870
109	16738	37737
110	16896	37598
111	17060	37472
112	17223	37343
113	17386	37212
114	17543	37069
115	17704	36936
116	17865	36800
117	18031	36673
118	18191	36535
119	18349	36392
120	18508	36251
121	18668	36112
122	18826	35969
123	18987	35831
124	19144	35685
125	19303	35542
126	19462	35399
127	19614	35245
128	19776	35106
129	19937	34967
130	20100	34831
131	20262	34692
132	20423	34551
133	20578	34400
134	20735	34252
135	20896	34110
136	21054	33964
137	21206	33808
138	21363	33659
139	21526	33519
140	21684	33372
141	21845	33229
142	21996	33072
143	22156	32927
144	22311	32774
145	22471	32630
146	22606	32449
147	22746	32275
148	22880	32094
149	23022	31924
150	23167	31758
151	23304	31584
152	23446	31415
153	23602	31265
154	23762	31121
155	23917	30969
156	24076	30823
157	24237	30680
158	24396	30534
159	24557	30389
160	24715	30241
161	24874	30094
162	25032	29947
163	25190	29798
164	25349	29651
165	25508	29503
166	25667	29355
167	25825	29207
168	25980	29055
169	26140	28908
170	26303	28764
171	26456	28609
172	26609	28455
173	26746	28283
174	26879	28108
175	27031	27953
176	27162	27776
177	27297	27604
178	27441	27441
179	27603	27296
180	27758	27145
181	27901	26981
182	28031	26806
183	28155	26625
184	28300	26464
185	28430	26290
186	28562	26118
187	28697	25949
188	28850	25797
189	29004	25646
190	29140	25478
191	29282	25316
192	29407	25141
193	29534	24967
194	29663	24795
195	29799	24629
196	29952	24479
197	30092	24316
198	30220	24146
199	30348	23975
200	30477	23805
201	30606	23636
202	30741	23472
203	30868	23302
204	30994	23132
205	31130	22969
206	31264	22806
207	31401	22645
208	31529	22477
209	31654	22309
210	31792	22149
211	31922	21984
212	32051	21819
213	32190	21661
214	32318	21495
215	32442	21327
216	32575	21166
217	32709	21006
218	32841	20844
219	32973	20683
220	33124	20534
221	33252	20371
222	33393	20215
223	33529	20057
224	33663	19898
225	33789	19735
226	33919	19574
227	34060	19420
228	34210	19271
229	34358	19121
230	34515	18975
231	34669	18829
232	34827	18684
233	34952	18521
234	35084	18363
235	35219	18206
236	35348	18047
237	35483	17891
238	35615	17733
239	35749	17576
240	35883	17420
241	36013	17262
242	36158	17112
243	36288	16954
244	36415	16795
245	36545	16638
246	36685	16486
247	36814	16329
248	36944	16172
249	37075	16016
250	37215	15864
251	37348	15710
252	37483	15556
253	37630	15407
254	37766	15254
255	37908	15104
256	38066	14960
257	38214	14811
258	38360	14662
259	38496	14510
260	38647	14363
261	38782	14210
262	38919	14058
263	39053	13905
264	39187	13752
265	39325	13601
266	39467	13451
267	39602	13299
268	39748	13150
269	39890	13001
270	40031	12851
271	40181	12704
272	40323	12555
273	40456	12402
274	40588	12250
275	40722	12098
276	40870	11951
277	41016	11803
278	41161	11654
279	41309	11507
280	41450	11358
281	41593	11209
282	41739	11061
283	41880	10912
284	42028	10765
285	42174	10617
286	42306	10466
287	42450	10317
288	42588	10168
289	42730	10019
290	42876	9871
291	43010	9721
292	43154	9573
293	43296	9425
294	43425	9274
295	43562	9124
296	43699	8975
297	43857	8830
298	43991	8680
299	44139	8533
300	44282	8385
301	44443	8241
302	44608	8097
303	44743	7947
304	44881	7799
305	45029	7652
306	45165	7503
307	45297	7353
308	45433	7204
309	45573	7056
310	45724	6910
311	45871	6763
312	46010	6614
313	46150	6466
314	46294	6319
315	46427	6170
316	46562	6022
317	46709	5875
318	46849	5727
319	46998	5581
320	47138	5433
321	47284	5286
322	47434	5139
323	47578	4992
324	47736	4847
325	47883	4700
326	48019	4552
327	48163	4405
328	48312	4258
329	48458	4111
330	48597	3964
331	48730	3816
332	48880	3669
333	49023	3522
334	49164	3375
335	49327	3229
336	49489	3083
337	49651	2937
338	49787	2790
339	49922	2642
340	50056	2495
341	50202	2348
342	50333	2201
343	50478	2054
344	50626	1907
345	50774	1760
346	50905	1613
347	51046	1466
